종목코드,종목명,업종,섹터
005930,삼성전자,통신 및 방송 장비 제조업,통신·인터넷
000660,SK하이닉스,반도체 제조업,반도체
373220,LG에너지솔루션,일차전지 및 이차전지 제조업,배터리·2차전지
207940,삼성바이오로직스,기초 의약물질 제조업,바이오·제약
005380,현대차,자동차용 엔진 및 자동차 제조업,자동차
000270,기아,자동차용 엔진 및 자동차 제조업,자동차
005490,POSCO홀딩스,1차 철강 제조업,철강·금속
068270,셀트리온,기초 의약물질 제조업,바이오·제약
035420,NAVER,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",통신·인터넷
051910,LG화학,기초 화학물질 제조업,화학·에너지
006400,삼성SDI,일차전지 및 이차전지 제조업,배터리·2차전지
028260,삼성물산,기타 전문 도매업,소비·유통
105560,KB금융,기타 금융업,지주
055550,신한지주,기타 금융업,지주
012330,현대모비스,자동차 신품 부품 제조업,자동차
032830,삼성생명,보험업,금융
066570,LG전자,통신 및 방송 장비 제조업,통신·인터넷
003670,포스코퓨처엠,일차전지 및 이차전지 제조업,배터리·2차전지
096770,SK이노베이션,석유 정제품 제조업,화학·에너지
015760,한국전력,전기업,IT·전자
034730,SK,기타 금융업,지주
017670,SK텔레콤,전기 통신업,IT·전자
086790,하나금융지주,기타 금융업,지주
033780,KT&G,담배 제조업,소비·유통
009150,삼성전기,전자부품 제조업,반도체
011200,HMM,해상 운송업,운송·물류
010130,고려아연,1차 비철금속 제조업,철강·금속
024110,기업은행,은행 및 저축기관,금융
316140,우리금융지주,기타 금융업,지주
138040,메리츠금융지주,기타 금융업,지주
259960,크래프톤,소프트웨어 개발 및 공급업,통신·인터넷
267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",IT·전자
010950,S-Oil,석유 정제품 제조업,화학·에너지
018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT·전자
047810,한국항공우주,"항공기,우주선 및 부품 제조업",조선·기계·방산
051900,LG생활건강,기타 화학제품 제조업,화학·에너지
090430,아모레퍼시픽,기타 화학제품 제조업,화학·에너지
000810,삼성화재,보험업,금융
021240,코웨이,그외 기타 개인 서비스업,소비·유통
011170,롯데케미칼,기초 화학물질 제조업,화학·에너지
003550,LG,기타 금융업,지주
035720,카카오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",통신·인터넷
323410,카카오뱅크,은행 및 저축기관,금융
002790,아모레퍼시픽홀딩스,기타 화학제품 제조업,화학·에너지
009830,한화솔루션,기초 화학물질 제조업,화학·에너지
011070,LG이노텍,전자부품 제조업,반도체
161390,한국타이어앤테크놀로지,고무제품 제조업,화학·에너지
030200,KT,전기 통신업,IT·전자
071050,한국금융지주,기타 금융업,지주
139480,이마트,종합 소매업,소비·유통
004020,현대제철,1차 철강 제조업,철강·금속
097950,CJ제일제당,기타 식품 제조업,소비·유통
078930,GS,기타 금융업,지주
000100,유한양행,의약품 제조업,바이오·제약
008770,호텔신라,기타 상품 전문 소매업,소비·유통
004990,롯데지주,기타 금융업,지주
012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업",조선·기계·방산
047050,포스코인터내셔널,상품 중개업,소비·유통
069960,현대백화점,종합 소매업,소비·유통
001570,금양,기초 화학물질 제조업,화학·에너지
006800,미래에셋증권,금융 지원 서비스업,금융
010140,삼성중공업,선박 및 보트 건조업,조선·기계·방산
029780,삼성카드,기타 금융업,지주
088350,한화생명,보험업,금융
005830,DB손해보험,보험업,금융
000720,현대건설,토목 건설업,건설·건자재
036570,NC,소프트웨어 개발 및 공급업,통신·인터넷
241560,두산밥캣,특수 목적용 기계 제조업,조선·기계·방산
251270,넷마블,소프트웨어 개발 및 공급업,통신·인터넷
002380,KCC,기타 화학제품 제조업,화학·에너지
007070,GS리테일,종합 소매업,소비·유통
004170,신세계,종합 소매업,소비·유통
128940,한미약품,의약품 제조업,바이오·제약
326030,SK바이오팜,자연과학 및 공학 연구개발업,바이오·제약
185750,종근당,의약품 제조업,바이오·제약
000150,두산,전자부품 제조업,반도체
271560,오리온,기타 식품 제조업,소비·유통
008930,한미사이언스,기타 금융업,지주
272210,한화시스템,전자부품 제조업,반도체
006280,녹십자,의약품 제조업,바이오·제약
042660,한화오션,선박 및 보트 건조업,조선·기계·방산
064350,현대로템,그외 기타 운송장비 제조업,운송·물류
111770,영원무역,상품 종합 도매업,소비·유통
120110,코오롱인더,화학섬유 제조업,화학·에너지
001450,현대해상,보험업,금융
000990,DB하이텍,반도체 제조업,반도체
093370,후성,기초 화학물질 제조업,화학·에너지
052690,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업",건설·건자재
375500,DL이앤씨,토목 건설업,건설·건자재
267250,HD현대,기타 금융업,지주
402340,SK스퀘어,기타 금융업,지주
329180,HD현대중공업,선박 및 보트 건조업,조선·기계·방산
456040,OCI,기초 화학물질 제조업,화학·에너지
005387,현대차2우B,자동차용 엔진 및 자동차 제조업,자동차
005935,삼성전자우,통신 및 방송 장비 제조업,통신·인터넷
347860,알체라,소프트웨어 개발 및 공급업,통신·인터넷
058470,리노공업,전자부품 제조업,반도체
214370,케어젠,기초 의약물질 제조업,바이오·제약
450080,에코프로머티,일차전지 및 이차전지 제조업,배터리·2차전지
357780,솔브레인,기타 화학제품 제조업,화학·에너지
