날짜,종목코드
2026-06-28,005930
2026-06-28,000660
2026-06-28,402340
2026-06-28,005935
2026-06-28,009150
2026-06-28,005380
2026-06-28,032830
2026-06-28,028260
2026-06-28,373220
2026-06-28,207940
2026-06-28,329180
2026-06-28,034730
2026-06-28,105560
2026-06-28,000270
2026-06-28,012450
2026-06-28,034020
2026-06-28,012330
2026-06-28,055550
2026-06-28,068270
2026-06-28,006400
2026-06-28,066570
2026-06-28,267260
2026-06-28,035420
2026-06-28,010120
2026-06-28,086790
2026-06-28,042660
2026-06-28,298040
2026-06-28,000810
2026-06-28,042700
2026-06-28,009540
2026-06-28,005490
2026-06-28,015760
2026-06-28,000150
2026-06-28,006800
2026-06-28,010130
2026-06-28,011070
2026-06-28,316140
2026-06-28,010140
2026-06-28,017670
2026-06-28,051910
2026-06-28,064350
2026-06-28,033780
2026-06-28,011200
2026-06-28,138040
2026-06-28,079550
2026-06-28,024110
2026-06-28,267250
2026-06-28,096770
2026-06-28,003550
2026-06-28,018260
2026-06-28,035720
2026-06-28,003670
2026-06-28,272210
2026-06-28,307950
2026-06-28,047810
2026-06-28,278470
2026-06-28,086280
2026-06-28,030200
2026-06-28,000720
2026-06-28,071050
2026-06-28,0126Z0
2026-06-28,010950
2026-06-28,006260
2026-06-28,003490
2026-06-28,005940
2026-06-28,443060
2026-06-28,323410
2026-06-28,259960
2026-06-28,016360
2026-06-28,005830
2026-06-28,003230
2026-06-28,028050
2026-06-28,039490
2026-06-28,047050
2026-06-28,007660
2026-06-28,180640
2026-06-28,161390
2026-06-28,352820
2026-06-28,047040
2026-06-28,005387
2026-06-28,064400
2026-06-28,000880
2026-06-28,004170
2026-06-28,000990
2026-06-28,062040
2026-06-28,353200
2026-06-28,326030
2026-06-28,001440
2026-06-28,021240
2026-06-28,032640
2026-06-28,078930
2026-06-28,241560
2026-06-28,034220
2026-06-28,090430
2026-06-28,454910
2026-06-28,000500
2026-06-28,029780
2026-06-28,000100
2026-06-28,267270
2026-06-28,009830
2026-06-28,011790
2026-06-28,377300
2026-06-28,036570
2026-06-28,088980
2026-06-28,271560
2026-06-28,005385
2026-06-28,023530
2026-06-28,138930
2026-06-28,128940
2026-06-28,001040
2026-06-28,069960
2026-06-28,175330
2026-06-28,002380
2026-06-28,066970
2026-06-28,082740
2026-06-28,088350
2026-06-28,052690
2026-06-28,018880
2026-06-28,010060
2026-06-28,004020
2026-06-28,012510
2026-06-28,336260
2026-06-28,051900
2026-06-28,103590
2026-06-28,111770
2026-06-28,022100
2026-06-28,035250
2026-06-28,009420
2026-06-28,450080
2026-06-28,483650
2026-06-28,036460
2026-06-28,001450
2026-06-28,251270
2026-06-28,011780
2026-06-28,014680
2026-06-28,383220
2026-06-28,031210
2026-06-28,085620
2026-06-28,004800
2026-06-28,302440
2026-06-28,017800
2026-06-28,011170
2026-06-28,097950
2026-06-28,489790
2026-06-28,012750
2026-06-28,001720
2026-06-28,005850
2026-06-28,139130
2026-06-28,028670
2026-06-28,005440
2026-06-28,375500
2026-06-28,026960
2026-06-28,004990
2026-06-28,279570
2026-06-28,009155
2026-06-28,003690
2026-06-28,020150
2026-06-28,139480
2026-06-28,007810
2026-06-28,000240
2026-06-28,007340
2026-06-28,204320
2026-06-28,161890
2026-06-28,009970
2026-06-28,030000
2026-06-28,081660
2026-06-28,004370
2026-06-28,282330
2026-06-28,006360
2026-06-28,051600
2026-06-28,000155
2026-06-28,001740
2026-06-28,457190
2026-06-28,439260
2026-06-28,071970
2026-06-28,018670
2026-06-28,097230
2026-06-28,462870
2026-06-28,00680K
2026-06-28,008770
2026-06-28,007070
2026-06-28,008930
2026-06-28,103140
2026-06-28,093370
2026-06-28,395400
2026-06-28,120110
2026-06-28,192820
2026-06-28,000120
2026-06-28,281820
2026-06-28,112610
2026-06-28,011210
2026-06-28,002790
2026-06-28,020560
2026-06-28,475150
2026-06-28,229640
2026-06-28,023590
2026-06-28,001800
2026-06-28,073240
2026-06-28,006280
2026-06-28,006040
